     FID  IID    SOL           C1           C2           C3           C4 
   G6231    .      0   -0.0597958    -0.066103   -0.0426126    0.0175991 
   G6233    .      0    -0.054582    0.0171421    0.0113527   0.00637067 
   G6234    .      0   -0.0138023    0.0699075   -0.0106243   -0.0231963 
   G6236    .      0   -0.0264058  -0.00168324    0.0155133    0.0133218 
   G6239    .      0    0.0363743   -0.0639406    0.0266852 -0.000375825 
   G6240    .      0    0.0383733   -0.0174608    0.0348548   -0.0140741 
   G6259    .      0    0.0400256    0.0729489   -0.0772741   0.00922079 
   G6261    .      0    -0.010479    0.0610062   -0.0498191   0.00445444 
   G6291    .      0    0.0179651    0.0223173    -0.015203    0.0316521 
   G6295    .      0   -0.0790837   -0.0501228   -0.0093425    0.0311878 
   G6311    .      0     0.036372     0.054703   -0.0664584    0.0578123 
   G6314    .      0   -0.0363414    0.0248525  -0.00075363    0.0162148 
   G6315    .      0   -0.0410172    0.0226845   -0.0136746   -0.0196118 
   G6319    .      0    0.0235354   -0.0227434      0.02259    0.0109274 
  G6356C    .      0    0.0481605   -0.0393676   -0.0169523   -0.0596052 
   G6366    .      0    0.0315515   0.00550706   0.00992287    0.0153723 
   G6368    .      0     0.021753  -0.00929871    0.0124307   -0.0456853 
  G6378C    .      0   -0.0152973    -0.060529   -0.0204406   -0.0211742 
  G6387C    .      0   -0.0312155   0.00133254 -0.000229441   0.00416502 
  G6392C    .      0   -0.0191902   -0.0717071    -0.069575  -0.00650073 
   G6406    .      0   -0.0243352    0.0071389    0.0252315   0.00754954 
   G6409    .      0    0.0426669    0.0616848   -0.0811578   -0.0253556 
   G6430    .      0   -0.0244673    0.0323413    0.0265322    0.0185337 
  G6442C    .      0    0.0303116   -0.0465892   -0.0398573   -0.0208307 
   G6474    .      0   -0.0209042   0.00930794  -0.00900364  -0.00365307 
   G6477    .      0    0.0559133    0.0537581   -0.0713323  -0.00864367 
   G6479    .      0  -0.00486971    0.0401672    0.0258307   -0.0332918 
   G6481    .      0    0.0611003  -0.00130559   0.00650893     -0.02811 
   G6486    .      0   -0.0400977    0.0327705   0.00149547  -0.00686487 
   G6492    .      0    0.0362897   -0.0209008   -0.0130983    -0.006358 
   G6494    .      0    0.0504667   -0.0251815   0.00123164    0.0544427 
   G6508    .      0   -0.0261368  -0.00828027   0.00993849   -0.0263897 
   G6510    .      0    -0.030113    0.0220576   0.00627181   0.00774833 
   G6513    .      0     0.055415   -0.0276963    0.0393581   -0.0197894 
   G6526    .      0     0.029663   -0.0169343  -0.00721536   -0.0027153 
   G6535    .      0   -0.0463436   -0.0345002   -0.0090103    0.0349497 
   G6548    .      0   -0.0374971    0.0257068  -0.00724156   -0.0140879 
   G6568    .      0   -0.0499273    0.0112782  -0.00425431  -0.00426331 
   G6577    .      0    0.0492717  -0.00810267    0.0516759   0.00799053 
   G6582    .      0   -0.0134328    0.0338846     0.015682   -0.0369384 
   G6583    .      0   -0.0326904    0.0407017   0.00429439   -0.0408026 
   G6623    .      0    0.0531361    0.0128754    0.0149844    0.0436319 
   G6631    .      0   -0.0470916   -0.0222805   -0.0350372   0.00387584 
   G6642    .      0    0.0306713   0.00152799    0.0340767    0.0641732 
   G6643    .      0   -0.0286357    0.0257415    0.0140772    0.0390232 
   G6648    .      0    -0.029983    0.0115999   0.00244447   -0.0364832 
   G6665    .      0   -0.0432047    0.0187036    0.0352651   0.00664624 
   G6666    .      0    0.0445004    0.0213421  0.000988707    0.0185323 
   G6673    .      0    0.0627219   -0.0286635    0.0361471    0.0258175 
   G6685    .      0   -0.0367143    0.0247293    0.0135697   -0.0238474 
   G6687    .      0   -0.0627051   -0.0539038   -0.0447441  0.000513482 
   G6689    .      0    0.0590187   -0.0170178   0.00248286   -0.0117965 
   G6691    .      0    0.0463786    -0.015985   0.00989359   0.00956635 
   G6692    .      0    -0.045072    0.0356642   -0.0116461  -0.00924844 
   G6696    .      0   -0.0101082    0.0277151   0.00719436    0.0602576 
   G6697    .      0   -0.0415136    0.0451405    0.0119563   -0.0185148 
   G6732    .      0   -0.0582857  -0.00622691    -0.010464   -0.0400769 
   G6746    .      0    0.0263529  0.000887373    0.0107781    0.0252491 
